Transaction_ID;Fecha_Venta;Cliente_Nombre;Ciudad_Origen;Categoria_Producto;Unidades_Vendidas;Precio_Unitario_USD;Descuento_Aplicado
TXN-10047;2024/09/22;Acme SAS;Bogotá;Oficina;35;70.84;0.17
TXN-10048;2024/12/27;Bio Health;Medellín;Software;87;1338.21;0.1
TXN-10049;2026/04/09;N3o Systems;Cali;Mobiliario;82;1115,03;0.05
TXN-10050;2026/10/09;Tech Corp;Bogotá;Electrónica;63;1298.11;0.09
TXN-10051;2024/06/15;Neo Systems;Medellín;Mobiliario;84;151.95;0.05
TXN-10052;2026/11/25;Bio Health;Bogotá;Mobiliario;35;1227.98;0.01
TXN-10053;2025/05/02;Edu Corp;Medellín;Servicios;7;967.94;0.12
TXN-10054;2024/12/20;Edu Corp;Bogotá;Oficina;52;987.61;0.21
TXN-10055;2024/03/17;Bio Health;Medellín;Software;52;803.89;0.25
TXN-10056;2024/11/10;Tech Corp;Medellín;Mobiliario;34;1392.5;0.18
TXN-10057;2025/09/18;Global Trade;Medellín;Servicios;87;178.51;0.0
TXN-10058;2026/06/20;Acme SAS;Barranquilla;Software;23;1221.96;0.18
TXN-10059;2024/06/08;Tech Corp;Barranquilla;Servicios;27;465.43;0.3
tx_ 10060;30-09-2025;Global Trade;Medellín;Mobilia;53;323.17;0.1
TXN-10061;2026/03/27;Tech Corp;Medellín;Oficina;51;891.52;0.07
TXN-10062;2024/04/26;Neo Systems;Bogotá;Software;82;80.23;0.17
TXN-10063;;Eko Group;Barranquilla; Servicios ;21;1039.32;0.03
TXN-10064;2026/06/20;Global Trade;Bogotá;Mobiliario;40;699.46;0.1
TXN-10065;2026/10/04;Eco Group;Bucaramanga;Servicios;24;1141.35;0.26
TXN-10066;2025/12/25;Bio Health;Bogotá;Servicios;19;508.19;0.11
TXN-10067;2026/08/11;Edu Corp;Bogotá;Oficina;56;1406.78;0.18
TXN-10068;2025/11/26;Edu Corp;Cali;Oficina;87;581.88;0.12
TXN-10069;2024/04/21;Eco Group;Bogotá;Oficina;23;206.3;0.28
TXN-10070;2024/03/01;Bio Health;Bucaramanga;Electrónica;3;551.36;0.07
TXN-10071;2025/11/10;Global Trade;Cali;Mobiliario;38;1349.18;0.3
TXN-10072;2025/04/09;Global Trade;Bogotá;Electrónica;3;1384.33;0.28
TXN-10073;2024/09/26;Global Trade;Cali;Electrónica;97;695.2;0.07
tx_ 10074;16-03-2026;Bio-Health;Medellín;Mobilia;30;169.16;0.03
TXN-10075;2024/04/14;Neo Systems;Barranquilla;Oficina;65;1432.79;0.12
TXN-10076;2024/12/01;Tech Corp;Bogotá;Servicios;74;388.53;0.19
TXN-10077;2024/12/18;Bio Health;Bogotá;Oficina;29;567.66;0.27
TXN-10078;2025/08/31;Acme SAS;Barranquilla;Electrónica;94;841.78;0.27
TXN-10079;2025/06/22;Bio Health;Bucaramanga;Mobiliario;47;1245.6;0.23
TXN-10080;2025/04/20;Neo Systems;Medellín;Oficina;48;210.83;0.11
TXN-10081;2024/02/21; Global trade;Medellin;Mobiliario;48;104.75;N/A
TXN-10082;28-01-2025; Global trade;cali;electronica;19;861.69;0.07
TXN-10083;2026/05/24;Tech Corp;Medellín;Software;12;570.45;0.28
TXN-10084;2026/08/06;Eco Group;Barranquilla;Oficina;50;528.38;0.26
TXN-10085;2026/05/03;Edu Corp;Bogotá;Servicios;81;173.82;0.18
TXN-10086;2026/11/10;Neo Systems;Bucaramanga;Mobiliario;41;786.19;0.07
TXN-10087;2026/02/13;Eco Group;Bucaramanga;Electrónica;88;1299.75;0.04
TXN-10088;2024/10/15;Edu Corp;Bogotá;Oficina;44;914.88;0.16
TXN-10089;2025/02/04;Global Trade;Bogotá;Electrónica;54;223.39;0.08
TXN-10090;2024/04/14;Eco Group;Barranquilla;Electrónica;47;1250.54;0.17
TXN-10091;2024/05/02;Edu Corp;Barranquilla;Electrónica;54;1144.47;0.12
TXN-10092;2024/01/16;Eco Group;Barranqilla;electronica;99;397.88;0.1
TXN-10093;2026/02/12;Tech Corp;Bogotá;Software;61;527.37;0.21
tx_ 10094;2024/05/17;Eco Group;Medellin;electronica;-69;1425.76;0.18
TXN-10095;2026/12/13;Neo Systems;Bucaramanga;Servicios;91;433.62;0.24
TXN-10096;2025/07/03;Eco Group;Cali;Electrónica;2;1011.13;0.18
TXN-10097;2025/09/15;Acme SAS;Bogotá;Electrónica;73;229.76;0.27
TXN-10098;2025/06/12;Global Trade;Barranquilla;Mobiliario;50;218.86;0.03
TXN-10099;2024/03/13;Global Trade;Bucaramanga;Mobiliario;1;1489.31;0.2
TXN-10100;2024/01/04;Neo Systems;Bucaramanga;Servicios;86;145.35;0.07
TXN-10101;2026/07/16;Edu Corp;Bucaramanga;Software;100;812.68;0.28
tx_ 10102;27-08-2026;Tech Corp;Medellín;Mobiliario;-7;454.85;N/A
TXN-10103;2026/09/28;Edu Corp;Cali;Software;28;1203.73;0.1
TXN-10104;2024/05/30;Bio Health;Medellín;Software;82;554.81;0.26
TXN-10105;2025/06/23;Eco Group;Cali;Electrónica;28;676.23;0.0
TXN-10106;2026/01/11;Eco Group;Barranquilla;Electrónica;62;346.53;0.16
TXN-10107;2024/11/26;Edu Corp;Barranquilla;Servicios;88;78.89;0.23
TXN-10108;2026/10/03;Bio Health;Bucaramanga;Electrónica;4;1096.55;0.07
TXN-10109;2026/06/16;Bio Health;Cali;Electrónica;70;1263.05;0.08
TXN-10110;2025/04/03;Bio Health;Bucaramanga;Mobiliario;39;1032.47;0.09
TXN-10111;29-11-2024;Bio Health;BGA; Servicios ;79;1447.2;0.12
TXN-10112;2026/09/11;Edu Corp;Bucaramanga;Oficina;1;993.45;0.13
TXN-10113;2026/02/14;Tech Corp;Cali;Electrónica;79;641.56;0.22
TXN-10114;2026/12/12;Bio-Health;Barranquilla;Mobiliario;58;730.16;0.07
TXN-10115;2026/11/24;Global Trade;Barranquilla;Electrónica;60;161.52;0.06
TXN-10116;2025/03/06;Global Trade;Bucaramanga;Servicios;31;719.25;0.24
TXN-10117;2025/06/21;Acme SAS;Bogotá;Servicios;27;210.77;0.19
TXN-10118;2026/12/08;Tech Corp;Cali;Mobiliario;32;1275.59;0.14
TXN-10119;2026/06/08;Neo Systems;Medellín;Software;69;332.67;0.23
TXN-10120;2024/02/23;Edu Corp;Cali;Oficina;100;1213.55;0.01
TXN-10121;2024/08/02;Tech Corp;Cali;Software;38;1024.93;0.25
TXN-10122;2024/11/23;Global Trade;Bucaramanga;Software;35;894.71;0.17
TXN-10123;2024/11/21;Acme SAS;Medellín;Oficina;75;345.01;0.04
TXN-10124;2025/04/01;Acme SAS;Bucaramanga;Servicios;89;1373.84;0.11
TXN-10125;2026/02/02;Eco Group;Medellín;Mobiliario;75;744.64;0.12
TXN-10126;2024/12/25;Global Trade;Bucaramanga;Software;59;1386.51;0.06
TXN-10127;2025/07/28;Eko Group;Bogota ;Software;96;1339.08;N/A
TXN-10128;2024/03/18;Eco Group;Bucaramanga;Electrónica;75;677.92;0.09
tx_ 10129;2025/04/06;Eko Group;Medellín;Oficin ;15;1131.43;0.25
TXN-10130;2026/11/05;Eco Group;Barranquilla;Software;100;863.69;0.15
TXN-10131;2025/01/06;Acme SAS;Barranquilla;Software;77;209.67;0.17
TXN-10132;2025/07/20;Neo Systems;Barranquilla;Oficina;4;974.63;0.04
TXN-10133;2026/09/16;Tech Corp;Medellín;Servicios;17;625.76;0.18
TXN-10134;2025/03/22;Neo Systems;Medellin; Servicios ;-88;360.01;0.28
TXN-10135;2025/11/07;Neo Systems;Bogotá;Software;9;1477.99;0.26
TXN-10136;2024/12/21;Tech Corp;Cali;Electrónica;41;1319.56;0.16
TXN-10137;2026/06/15;Bio Health;Barranquilla;Oficina;38;504.56;0.26
TXN-10138;2026/07/15;Neo Systems;bogota;Mobilia;67;417.95;0.03
TXN-10139;06-04-2024;Eco Group;BGA;Mobiliario;-84;781,37;0.27
TXN-10140;2025/02/10;Bio Health;Medellín;Servicios;40;856.64;0.03
TXN-10141;2024/03/07;Edu Corp;Barranquilla;Mobiliario;5;1355.81;0.03
TXN-10142;2025/06/26;Neo Systems;Bucaramanga;Electrónica;95;980.93;0.02
TXN-10143;2024/08/01;Bio Health;Bucaramanga;Software;60;778.15;0.2
TXN-10144;2025/03/06;Neo Systems;Bogotá;Servicios;96;62.9;0.08
TXN-10145;2025/07/30; Global trade; Bogo-ta; Servicios ;8;1318.72;0.04
TXN-10146;2026/07/29;Bio Health;Medellín;Electrónica;10;1409.99;0.2
TXN-10147;2026/01/28;Edu Corp;Bogotá;Servicios;29;1269.17;0.13
TXN-10148;2026/11/26;Bio Health;Medellín;Mobiliario;76;1324.25;0.03
tx_ 10149;29-04-2026;Bio Health;medeLLin;Mobilia;81;1141.32;0.18
TXN-10150;2026/01/16;Neo Systems;Medellín;Mobiliario;85;686.88;0.07
TXN-10151;2025/02/14;Edu Corp;Barranquilla;Oficina;4;237.83;0.13
TXN-10152;2025/03/02;Bio Health;Bogotá;Servicios;91;203.34;0.11
TXN-10153;2025/06/21;Neo Systems;Bucaramanga;Servicios;79;915.37;0.26
TXN-10154;2026/03/01;Bio Health;Cali;Oficina;71;374.3;0.29
TXN-10155;2024/07/02;Eco Group;Cali;Servicios;8;596.19;0.01
TXN-10156;2024/09/07;Tech Corp;Bogotá;Mobiliario;25;801.92;0.05
TXN-10157;2025/01/15;Eco Group;Cali;Electrónica;54;803.94;0.1
TXN-10158;2026/02/12;Acme SAS;Bucaramanga;Mobiliario;72;516.7;0.29
TXN-10159;2025/11/17;Edu Corp;Cali;Electrónica;15;632.34;0.07
tx_ 10160;22-03-2024;Bio-Health;Bogotá;Software;-33;74.99;0.11
TXN-10161;;Tech Corp;Bogota ;Software;93;1065.56;N/A
TXN-10162;2025/10/14;Neo Systems;Medellín;Electrónica;98;975.09;0.05
TXN-10163;2025/04/28;Tech Corp;Medellín;Oficina;28;1018.1;0.22
TXN-10164;2025/06/17;Acme SAS;Bogotá;Mobiliario;90;1339.25;0.1
TXN-10165;2025/06/03;Edu Corp;Medellín;Mobiliario;68;1126.1;0.3
TXN-10166;2024/08/23;Edu Corp;Cali;Software;7;128.85;0.27
TXN-10167;2026/02/08;Neo Systems;Cali;Oficina;50;43.74;0.05
TXN-10168;2025/08/15;Tech Corp;Cali;Servicios;3;70.62;0.07
TXN-10169;2025/02/13;Tech Corp;Cali;Software;60;52.86;0.12
TXN-10170;2026/01/29;Edu Corp;Bucaramanga;Oficina;41;1142.61;0.09
TXN-10171;2026/07/21;Bio Health;Bucaramanga;Electrónica;20;176.77;0.03
TXN-10172;2025/03/01;Tech Corp;Bogotá;Electrónica;60;106.94;0.04
TXN-10173;2026/05/17;Acme SAS;Bogotá;Oficina;32;954.53;0.18
TXN-10174;2025/09/17;Eco Group;Cali;Oficina;58;293.77;0.13
TXN-10175;2026/05/02;Edu Corp;Barranquilla;Mobiliario;54;772.02;0.18
TXN-10176;2025/07/30;Bio Health;Barranquilla;Oficina;92;540.39;0.23
TXN-10177;2026/12/04;Edu Corp;Medellín;Electrónica;94;107.99;0.13
TXN-10178;2024/08/21;Bio Health;Cali;Electrónica;75;1377.52;0.25
TXN-10179;2025/05/27;Bio Health;Bucaramanga;Mobiliario;75;768.21;0.09
TXN-10180;2024/01/31;Tech Corp;medeLLin;Oficina;44;1066.13;0.09
TXN-10181;2024/08/27;Edu Corp;Bogotá;Oficina;53;1105.01;0.12
TXN-10182;2025/05/28;Bio Health;Cali;Software;39;352.58;0.04
TXN-10183;2025/05/05;Global Trade;Bucaramanga;Software;33;1263.36;0.09
TXN-10184;2026/10/10;Global Trade;Bucaramanga;Electrónica;84;162.85;0.07
TXN-10185;2024/02/01;Acme sas ;Bucaramanga;electronica;71;1261.79;0.05
TXN-10186;2024/12/04;Neo Systems;Bucaramanga;Software;36;427.77;0.22
TXN-10187;2026/05/17;Eco Group;Bucaramanga;Mobiliario;48;984.5;0.24
TXN-10188;2026/06/23;Tech Corp;Medellín;Electrónica;93;1299.99;0.07
TXN-10189;2025/03/17;Acme SAS;Bucaramanga;Oficina;92;680.01;0.28
TXN-10190;2025/04/21;Edu Corp;Bucaramanga;Software;36;144.96;0.27
TXN-10191;2026/08/01;Bio Health;Medellín;Software;41;1394.13;0.28
TXN-10192;2026/07/18;Bio Health;Medellín;Mobiliario;82;222.4;0.26
TXN-10193;2026/09/26;Eco Group;Bucaramanga;Electrónica;52;1327.87;0.0
TXN-10194;06-06-2026;Eko Group;medeLLin;Servicios;33;414.01;0.17
TXN-10195;2025/08/20;Edu Corp;Bucaramanga;Electrónica;51;1101.48;0.26
TXN-10196;2026/01/11;Neo Systems;Bucaramanga;Mobiliario;72;1277.54;0.22
TXN-10197;2026/07/28;Neo Systems;Bucaramanga;Software;87;1281.12;0.03
TXN-10198;2024/09/08;Neo Systems;Cali;Servicios;6;241.59;0.24
TXN-10199;2025/10/29;Tech Corp;Medellín;Servicios;2;574.68;0.07
TXN-10200;2024/12/16;Tech Corp;Barranquilla;Mobiliario;43;287.82;0.08
TXN-10201;2026/02/05;Acme SAS;Cali;Oficina;72;138.4;0.03
TXN-10202;2025/10/08;Edu Corp;Barranquilla;Servicios;48;1000.94;0.27
TXN-10203;2026/11/08;Global Trade;Cali;Software;52;599.71;0.1
tx_ 10204;2024/10/02;Edu Corp;Medellin;Electrónica;95;708.65;0.22
TXN-10205;2025/05/31;Bio Health;Cali;Servicios;-91;799.48;0.02
TXN-10206;2025/09/01;Tech Corp;Bogotá;Electrónica;96;288.71;0.13
TXN-10207;2026/03/28;Acme SAS;BGA;Servicios;2;1124.82;N/A
TXN-10208;24-10-2024;Edu Corp;Barranquilla;Software;4;1111.43;0.18
TXN-10209;2025/05/05;Acme SAS;Bucaramanga;Oficina;8;815.85;0.1
TXN-10210;2024/08/31;Global Trade;Bogotá;Software;39;612.46;0.08
TXN-10211;2024/08/28;Neo Systems;Bogotá;Software;17;92.63;0.08
TXN-10212;2026/12/27;Global Trade;Medellín;Electrónica;63;310.22;0.15
TXN-10213;2024/10/20;Edu Corp;Bogotá;Mobiliario;53;1369.6;0.08
tx_ 10214;05-02-2026;Neo Systems;Bogota ;Servicios;72;1478.51;N/A
TXN-10215;2025/06/22;Tech Corp;Bucaramanga;Servicios;70;966.24;0.29
TXN-10216;20-02-2026;Acme sas ;Medellín;electronica;91;1244,31;N/A
TXN-10217;2025/06/21;Eco Group;Bogotá;Oficina;42;152.13;0.2
TXN-10218;2024/07/15;Eco Group; Bogo-ta;Mobiliario;97;947.87;0.2
TXN-10219;2024/11/07;Tech Corp;Barranquilla;Electrónica;99;208.87;0.03
TXN-10220;2026/06/16;Tech Corp;Bucaramanga;Software;47;323.74;0.24
TXN-10221;2026/07/22;Edu Corp;Bucaramanga;Servicios;70;393.64;0.14
TXN-10222;2025/09/15;Neo Systems;Medellín;Electrónica;65;411.01;0.08
TXN-10223;07-09-2025;Edu Corp;Medellín;Oficin ;50;955,34;0.27
TXN-10224;2024/08/01;Global Trade;Cali;Oficina;31;262.62;0.28
TXN-10225;2024/06/21;Eco Group;Medellín;Mobiliario;56;1068.44;0.06
TXN-10226;2025/10/05;Global Trade;Cali;Mobiliario;30;675.31;0.19
tx_ 10227;01-12-2024;Tech Corp;Barranquilla;Software;11;542.23;0.24
TXN-10228;2024/02/14;Eco Group;Medellín;Software;12;443.53;0.28
TXN-10229;2026/10/08;Neo Systems;Barranquilla;Servicios;56;525.16;0.27
TXN-10230;2026/01/08;Acme SAS;Bucaramanga;Oficina;13;979.22;0.08
TXN-10231;2025/07/18;Edu Corp;Barranquilla;Electrónica;72;431.39;0.01
TXN-10232;2025/07/26;Tech Corp;Bucaramanga;Oficina;87;809.8;0.18
TXN-10233;2026/04/11;Edu Corp;Medellín;Oficina;61;950.03;0.01
TXN-10234;2026/01/06;Global Trade;Bogotá;Oficina;44;501.29;0.2
TXN-10235;2024/02/03;Acme SAS;Medellín;Oficina;7;307.84;0.13
TXN-10236;2026/08/15;Neo Systems;medeLLin;Sftware;76;1256.55;0.01
tx_ 10237;2024/04/20;EduCorp;Bucaramanga;Oficina;4;510.14;0.05
TXN-10238;2026/10/27;Eco Group;Medellín;Oficina;75;925.55;0.07
TXN-10239;2024/06/14;Acme SAS;Medellín;Software;87;418.38;0.06
TXN-10240;2026/11/23;Edu Corp;Cali;Software;44;170.74;0.06
TXN-10241;2025/01/24;Tech Corp;Cali;Electrónica;84;477.96;0.03
TXN-10242;2026/07/31;Eco Group;Bogotá;Mobiliario;37;991.96;0.14
TXN-10243;04-03-2024;N3o Systems;Bogota ;Software;19;651,58;0.24
TXN-10244;2026/10/22;Acme sas ;medeLLin;Electrónica;85;86.26;0.18
TXN-10245;2024/01/22;Edu Corp;Bucaramanga; Servicios ;100;934.12;N/A
TXN-10246;2026/05/26;Tech Corp;Barranquilla;Servicios;8;355.79;0.05
TXN-10247;2024/02/07;Global Trade;Bogotá;Oficina;62;1050.89;0.29
TXN-10248;31-10-2024;Eko Group;cali;Electrónica;-84;1173,32;0.17
TXN-10249;2024/12/03;Bio Health;Medellín;Oficina;34;1274.77;0.12
TXN-10250;2024/02/21;Eco Group;Barranquilla;Oficina;64;1395.12;0.03
TXN-10251;2024/04/27;Global Trade;Bucaramanga;Software;17;1127.47;0.14
TXN-10252;2024/10/24;Acme SAS;Cali;Software;17;810.0;0.08
TXN-10253;2026/10/01;Neo Systems;Bogotá;Software;23;395.95;0.03
TXN-10254;2025/04/23;Neo Systems;Bogotá;Mobiliario;75;131.31;0.2
TXN-10255;;tech corp;Barranquilla;Oficina;9;76.19;0.18
TXN-10256;2024/06/04;Edu Corp;Bogotá;Oficina;50;1048.2;0.21
TXN-10257;2025/12/04;Tech Corp;Bogotá;Mobiliario;25;424.6;0.13
TXN-10258;2025/07/04;Global Trade;Medellín;Software;95;1366.94;0.26
TXN-10259;2024/12/08;Bio Health;Barranquilla;Electrónica;51;302.39;0.3
TXN-10260;18-06-2026;Acme sas ;medeLLin;Electrónica;86;192.91;N/A
TXN-10261;2024/01/14;Edu Corp;Bucaramanga;Electrónica;84;646.1;0.2
TXN-10262;2026/04/26;Neo Systems;Cali;Electrónica;44;145.26;0.2
TXN-10263;2024/06/20;Neo Systems;Bucaramanga;Software;96;879.55;0.17
TXN-10264;2025/11/26;Eco Group;Bucaramanga;Mobiliario;89;293.35;0.12
TXN-10265;2024/04/25;Bio Health;Barranquilla;Oficina;34;321.0;0.16
TXN-10266;2026/03/28;Edu Corp;Medellín;Mobiliario;15;69.03;0.13
TXN-10267;2024/09/10;Eco Group;Medellín;Software;77;320.35;0.21
TXN-10268;2025/03/17;Tech Corp;Medellín;Software;55;998.69;0.17
TXN-10269;2025/05/23;Eco Group;Bogotá;Servicios;26;623.7;0.08
TXN-10270;2026/05/10;Edu Corp;Bucaramanga;Software;19;868.92;0.04
TXN-10271;2025/07/25;Bio Health;Barranquilla;Electrónica;88;200.3;0.21
tx_ 10272;2025/06/28; Global trade;medeLLin;Electrónica;58;1013.93;0.11
TXN-10273;2025/07/31;Edu Corp;Medellín;Mobiliario;89;435.57;0.17
TXN-10274;2024/09/07;Edu Corp;Medellín;Servicios;47;595.51;0.11
TXN-10275;2024/11/11;Edu Corp;Barranquilla;Mobiliario;80;704.13;0.07
TXN-10276;2024/04/16;Global Trade;Cali;Servicios;55;897.02;0.27
TXN-10277;2024/04/19;Eco Group;Medellín;Mobiliario;25;851.51;0.19
TXN-10278;2025/06/23;Acme SAS;Barranquilla;Oficina;63;333.62;0.18
TXN-10279;2026/01/01;Tech Corp;Cali;Electrónica;85;1464.65;0.21
TXN-10280;2024/04/30;Global Trade;Medellín;Software;46;1378.94;0.28
TXN-10281;2024/07/18;Bio Health;Barranquilla;Mobiliario;30;1330.65;0.02
TXN-10282;2026/10/29;Global Trade;Medellín;Software;97;934.92;0.3
TXN-10283;2026/01/14;Acme SAS;Cali;Oficina;15;410.02;0.1
TXN-10284;2024/05/05;Tech Corp;Medellín;Servicios;93;1144.68;0.07
TXN-10285;2024/05/15;Neo Systems;Barranquilla;Mobiliario;56;576.97;0.25
TXN-10286;2025/08/28;Neo Systems;Bogotá;Mobiliario;3;1251.24;0.16
TXN-10287;2024/07/22;Neo Systems;Cali;Mobiliario;86;666.85;0.29
TXN-10288;2024/01/17;Bio Health;Barranquilla;Servicios;45;298.89;0.26
TXN-10289;2026/08/01;Edu Corp;Bogotá;Servicios;36;809.76;0.07
TXN-10290;2025/10/31;Edu Corp;Bucaramanga;Oficina;86;1057.26;0.05
TXN-10291;2024/09/11;Bio Health;Cali;Software;75;926.31;0.09
TXN-10292;2024/10/09;Neo Systems;Bogotá;Software;18;416.88;0.15
TXN-10293;2026/10/21;Global Trade;Bogotá;Electrónica;90;874.01;0.29
TXN-10294;2026/06/29;Edu Corp;Barranquilla;Oficina;27;586.03;0.17
TXN-10295;2025/02/12;Edu Corp;Medellín;Servicios;69;119.7;0.04
TXN-10296;2026/02/06;Global Trade;Bucaramanga;Software;99;275.28;0.08
TXN-10297;2025/08/14;Edu Corp;Bucaramanga;Electrónica;21;147.38;0.12
tx_ 10298;10-06-2025;Bio Health;Barranquilla;Sftware;91;660.73;0.16
TXN-10299;2026/07/15;Bio Health;Bucaramanga;Servicios;42;1355.4;0.2
TXN-10300;2026/11/05;Eco Group;Cali;Software;17;523.86;0.1
TXN-10301;2025/03/19;Tech Corp;Bogotá;Electrónica;59;238.73;0.03
TXN-10302;2026/07/28;Bio Health;Barranquilla;Mobiliario;47;689.68;0.09
TXN-10303;2024/11/22;Acme sas ;cali;Servicios;91;902.34;0.0
TXN-10304;2024/11/13;Acme SAS;Bucaramanga;Mobiliario;24;1355.63;0.26
TXN-10305;2024/09/20;Edu Corp;Cali;Mobiliario;54;780.08;0.18
TXN-10306;2026/08/16;Neo Systems;Cali;Mobiliario;100;948.39;0.01
TXN-10307;2024/08/27;Bio Health;Cali;Oficina;100;1242.76;0.16
TXN-10308;2025/11/07;Acme SAS;Barranquilla;Mobiliario;78;1051.78;0.15
TXN-10309;2026/04/14;Edu Corp;Bucaramanga;Mobiliario;27;1013.98;0.17
TXN-10310;2024/06/05;Edu Corp;Medellín;Software;20;1033.5;0.29
TXN-10311;2026/12/30;Tech Corp;Bucaramanga;Oficina;34;763.57;0.15
TXN-10312;2024/10/06;Eco Group;Bucaramanga;Oficina;68;184.06;0.04
TXN-10313;2026/12/06;Global Trade;Medellín;Servicios;93;1098.76;0.17
TXN-10314;2026/04/24;Eco Group;Cali;Oficina;43;1461.56;0.15
TXN-10315;2025/05/06;Acme SAS;Medellín;Mobiliario;52;525.31;0.11
TXN-10316;2026/01/21;Acme SAS;BGA;Electrónica;-96;725.34;0.14
TXN-10317;2026/10/11;Bio Health;Bogotá;Oficina;64;193.12;0.12
TXN-10318;2024/11/13;Global Trade;Bucaramanga;Software;20;988.37;0.18
TXN-10319;2026/03/21;Eco Group;Medellín;Electrónica;12;1291.68;0.08
TXN-10320;2026/03/20;Tech Corp;Barranquilla;Servicios;73;55.4;0.21
TXN-10321;2026/03/02;Neo Systems;Bucaramanga;Servicios;79;862.04;0.29
TXN-10322;2025/08/26;Bio Health;Bucaramanga;Oficina;45;766.24;0.19
TXN-10323;2026/05/09;Neo Systems;Bogotá;Mobiliario;33;1048.67;0.26
TXN-10324;2025/07/29;Global Trade;Medellín;Software;8;763.71;0.12
TXN-10325;2026/09/19;Tech Corp;Medellín;Software;79;298.94;0.2
TXN-10326;2026/12/20;Global Trade;Bogotá;Oficina;16;1364.23;0.21
TXN-10327;04-02-2025;EduCorp;Medellin;Mobilia;78;1416.14;0.15
TXN-10328;2024/10/06;Edu Corp;Barranquilla;Software;63;502.7;0.16
TXN-10329;2026/03/08;Edu Corp;Bogotá;Software;79;376.93;0.0
